	m	o	x	s	u	w	y	{	}	þ	 	"	ö	ü	(	*	,	.	0	2	4	6	8	:	@	­	&	0xc	·	»	0xb	¿	\	q	b	d	f	h	j	l	n	p	r	t	v	0xd	z	ç	0x9	!	#	%	'	)	[	-	/	1	3	5	7	9	;	?	0xa	ð	¡	«	ý	]	_	a	c	e	g	i	k	"																																																																	
%	96	1	9	101	116	10	8	4	11	1	2222	28	0	7	20	10	63	25	250	1604	558	530	686	4	16	0	123	0	0	0	0	0	11	0	22	74	36	4	1	22	7	9	7	7	1	112	4	0	1	18	24	160	148	77	1	21	12	2215	746	1250	659	1737	6	8	5	0	0	0	2	3	0	15	69	18	8	73	54
'	47318	4829	123	112192	59720	656	54873	9	4	708	77056	220	426	7829	197	37	4816	1781	198	114	65	169	349	327	4	1	17	0	4	1	0	0	32	170	7120	198812	1241	3666	275	89924	138468	1640	31163	112470	19729	4428	549	753	1	179	8	25	19062	431	10	253	49	227	105	86	213	743	126	176	387	15	0	0	61619	57	2	47844	8823	37341	2104	156320	3599
)	1183	385	94	792	361	59	528	57	30	53	302854	1752	71	70	15089	379	879936	40892	109	250	40	43	23	15819	13	0	52	1	8	1	0	3	23	12	834	1370	190	438	35	657	1077	203	155	656	276	219146	59	90	210	334	50	14	3404	5869	80	1012	488	248	122	100	14	11	2843	370	23620	7	0	1	240	392	30	1028	276	548	334	1219	616
[	777	500	959	1504	181	242	405	8	1	52	1276	144	68	24	127	37	26	99	2151	3086	182	69	82	17	21	0	1	0	2	1	0	0	50	8	1285	872	396	640	447	475	531	1561	1521	1086	498	13	116	93	0	76	53	9	62	2	67	101	25	2492	322	117	77	112	1	99	3	1	0	1	10	131	14	1095	1721	691	523	911	797
-	15680	14544	659	26291	5731	3650	13867	16	12	1950	298887	1415	1708	1735	1903	137	1778	2783	5023	12906	6513	4537	3350	410	56	0	8	0	0	4	0	4	17	252	29598	14136	6764	20437	1474	7334	12553	9784	6441	15972	4437	8648	2133	2427	1085	174	49	112	215	1310	106	145067	99	22224	8411	6660	3533	3067	49	641	693	44	0	5	5165	62	64	29004	9697	17959	9952	22315	17394
/	5785	2904	301	9928	2251	36318	3184	4	1	275	16200	226	293	124	325	538	4422	148	3220	7041	2021	1367	1103	16	171	0	11	0	0	0	0	3	52	283	5149	5585	3089	4493	731	2199	2595	4950	2739	6045	3387	3655	1050	381	2	10	2654	32	47	331	16	131	43004	9622	2747	1455	1192	919	0	113	207	0	0	0	126	6	70	6870	4471	3839	4162	5279	5135
1	536	128	288	526	34	27	61	4	26	17	77978	586	0	1	222	265	28988	31033	75695	37629	24227	25000	30086	5381	145	0	207	0	6	28	0	0	9	8	354	1312	145	149	11	343	177	60	69	154	66	4162	15	6	681	66	63	95	6182	12300	3	11190	4187	33930	27096	33208	25326	135338	242	49	296	0	0	28	14	1503	183	485	243	481	138	798	350
3	447	37	526	181	433	26	77	0	17	1	78281	334	0	530	114	178	26557	23582	32040	16369	13479	13300	12972	5185	45	0	97	0	2	0	0	0	7	12	244	2754	179	81	14	830	140	194	603	1217	82	3344	19	6	647	58	12	87	6445	9904	2	10013	2208	19445	16516	14949	13759	13662	177	97	207	0	0	0	1	1377	126	306	463	449	192	63	195
5	710	50	247	128	62	22	51	0	7	0	71295	395	0	2	101	126	5814	15808	36337	11770	11099	12321	10733	2391	64	0	67	0	1	0	0	0	5	3	212	624	198	109	10	679	138	50	33	930	84	2665	13	3	603	56	11	251	5700	6789	2	8468	1437	13989	13489	13384	13169	12815	195	32	187	0	0	0	6	1062	106	181	398	393	104	760	242
7	154	20	128	278	63	16	151	0	2	10	34905	303	1	0	81	77	24232	13089	20577	11895	11187	11660	11487	1639	32	0	55	0	2	0	0	0	5	10	157	750	97	53	3	298	186	28	14	490	49	2383	10	7	591	25	12	59	3376	6024	1	4999	1931	13344	13185	13788	13875	13198	134	22	121	0	0	0	12	919	56	156	127	237	58	80	73
9	195	18	322	88	348	2	32	0	16	2	31169	199	0	1	72	93	24533	11074	23932	17635	18964	25865	37438	1797	78	0	91	0	0	0	0	0	2	7	153	848	146	44	3	117	43	36	20	190	24	2636	10	3	573	32	9	85	3519	5771	4	4162	1424	18562	20240	22280	31649	58127	166	24	146	0	0	0	10	971	53	208	145	131	24	55	59
";"	229	306	14	587	85	40	344	9	45	58	108473	325	94	36	128	7	165	46	7	40	11	12	9	65	0	0	244	0	0	0	0	0	1	29	829	324	144	375	30	141	166	151	139	321	93	24711	69	92	35	32	5	1	76	589	8	86	8	77	17	14	9	5	39	36	1908	0	0	0	13	31	6	711	155	328	231	438	461
?	174	212	40	503	130	49	301	1	33	35	80287	26713	24	24	448	63	19528	3925	202	21	8	6	0	1050	72	0	23	0	0	17	0	38	2	65	500	326	101	402	13	113	489	253	101	366	115	80679	191	60	27	6424	21	14	2245	7166	6	275	107	13	5	1	3	1	28	15512	13855	1	0	1	114	311	18	528	190	295	150	774	299
0xa	86767	80877	3260	186177	24124	89735	111083	595	350	14201	125757	47094	15565	4937	327342	11181	11496	12500	7574	21468	9616	6930	6458	3054	447	2	170	793	5526	26	5	77	41	4488	213226	104837	51515	115512	19636	50925	61554	45700	35213	175286	30905	678107	12047	13512	6363	94	1572	252	7976	44	14180	238912	982	46517	13858	8309	6266	5453	40	346	53215	58	13	171	1184	132	596	239718	69810	73420	73422	210372	87649
ð	33172	2328	0	2099	288464	8	769	0	0	125	14450	262	32	76672	17	5	949	587	0	1	1	0	0	107	0	6	0	0	0	0	0	0	0	1	1328	17484	545	250	5	132994	4414	72	138586	210	104	201	11539	225	1	63	0	1	840	485	0	219	27	2	2	0	0	0	25	63	46	2808	0	0	526898	4	0	82739	1566	109628	118	620679	504
¡	5	1	0	7	3	0	5	0	0	0	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	5	0	0	3	1	0	14	11	2	4	3	5	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	7	0	2	0	1	0
«	11	9	0	19	6	1	16	0	0	6	128	0	7	2	0	0	2	3	0	0	0	2	1	8	0	0	0	0	0	10	0	0	0	1	25	34	7	16	0	6	0	6	3	19	7	7	3	1	0	1	0	0	0	0	3	6	1	0	0	0	0	0	0	0	11	0	0	48	0	0	0	21	4	22	6	19	21
ý	572244	4824	73	281776	370	205	325482	0	5	550244	2021412	13725	91	39	1688	111	150332	209136	8	16	10	1	6	17712	6	48	22	0	0	4	0	3	4	141	10202	125839	30641	5208	309	808344	2387056	128708	1046688	69824	17348	18892	428827	24144	46	2473	3	1	14548	45049	49	3919	1932	47	8	13	10	3	5836	10767	2701	360589	0	0	21904	202	30	2263	122088	380	33955	402	643492
]	44	29	19	128	16	35	22	22	11	4	16122	85	0	2	33	28	2804	779	6	13	2	0	3	206	0	0	4	0	0	3	0	0	7	0	41	51	17	21	8	36	47	22	17	44	7	8868	6	1	31	13	6	1	91	246	161	82	33	2	6	1	0	0	148	11	486	0	0	22	3	76	47	77	18	49	12	61	20
_	625	379	91	888	177	233	208	5	2	10	985	15	8	6	18	16	60	73	204	243	75	53	112	7	8	0	4	0	0	22	0	0	12	30	568	529	522	430	69	426	304	606	2341	2748	195	207	81	11	0	6	0	49	10	46	18	63	53	395	160	60	62	39	3	23	19	0	0	1	35	15	5903	872	774	410	398	720	307
a	2362316	19516	15984	2363380	96069	50772	2422549	8	59	703337	6494992	25335	366	798	3534	663	272117	191676	362	848	676	300	161	47489	209	250	264	0	3	2	0	13	84	3998	999823	1875279	454359	998683	73418	3330758	7107260	930650	6960839	2064063	513810	54555	1029407	242086	393	11412	59	67	87496	83142	140	18401	5422	1454	702	240	232	259	10541	14558	8323	386776	3	0	6374	856	540	280559	834669	23988	417407	337802	2931713
c	57148	517725	534	15561	455942	467	14976	5	17	19	182872	1337	1371	91461	344	108	8399	14349	352	497	807	1420	179	3364	92	6	135	0	2	0	0	0	25	8915	17038	24069	1378	292512	486	128800	7274	6256	115411	107412	1727	2912	2919	45	52	353	138	52	11051	9459	43	3253	1411	1092	840	405	225	198	174	417	347	75	2	0	195536	213	264	1393394	23777	1432252	4135	1045121	197373
